1	084 : My Top Dragon Blood Bangers For 2025 (via minorgenius.substack.com)	Everything you desire in life - money, success, community - requires a light touch and a light heart. Over engineering and psychic butt clenching only creates more desperation and repulsion. You're dating life. Don't be needy!
2	Every Time We Need to Begin Again (via thesmallbow.substack.com)	My question I keep pondering is where is the balance between sitting in the pain and uncomfortable feelings and numbing? Self-care can be numbing sometimes, can't it?
3	My Internet: Chris Gayomali (via open.substack.com)	Tweeting right now feels completely inessential to anything I'm interested in, but every couple of nights, around nine o'clock, I'll get an uncontrollable compulsion to tweet something very stupid.
4	Since I Became Symptomatic - Leslie Jamison (via nybooks.com)	Getting righteous about other people's inadequate social distancing is how we manage our fear and justify our sacrifices.
5	Why Are Pants So Big (Again)? (via nytimes.com)	To state what's obvious, I care a lot about pants.
6	Do I contradict myself? (via welcometohellworld.com)	Contradiction is the result of a mind that is not finished thinking, or a world that keeps changing before the mind can keep up.
7	Ezra Klein's Formula for a Good Day Involves These Habits (via gq.com)	Doing things for which I have no audience, where the feedback loop is just my own enjoyment of the activity.
8	Ezra Klein's Formula for a Good Day Involves These Habits (via gq.com)	I feel a strange obligation to say "busy" and somehow show that it's true.
9	Excuse me but why are you eating so many frogs (via experimental-history.com)	My experience is that the more I practice doing hard things
10	The Work is Not Enough (via annehelen.substack.com)	For a long time, this is how I understood my own burnout
11	Understanding the Right #1 (via driftglass.blogspot.com)	Conservatism cannot fail. It can only be failed.
12	How Cal Newport rewrote the productivity gospel (via ft.com)	The attraction of "deep work" is that it promises
13	INDIGNITY VOL. 3 ,NO. 36: Rude a-woke-ening. (via indignity.substack.com)	The way I see it, either the Democratic Party
14	Opinion - Why Petulant Oligarchs Rule Our World (via nytimes.com)	Democracy needs friction
15	Themes of a Year (2022) (via annehelen.substack.com)	Presence over productivity.
16	Themes of a Year (2022) (via annehelen.substack.com)	We talk a lot about being good people
17	I called everyone in Jeffrey Epstein's little black book (via vice.com)	I'd gotten about a third through the book
18	I called everyone in Jeffrey Epstein's little black book (via vice.com)	There's a kind of journalistic cowardice
19	Closing Up Shop on a Marriage (via nytimes.com)	He used to tell me that my anger was a flaw
20	When the traffic firehose is pointed at you (via garbageday.email)	There is no real structure to speaking to a large crowd online
21	Is Crypto Bullshit? (via modelcitizen.substack.com)	The smart contracts and tokens that were going to disrupt
22	Is Crypto Bullshit? (via modelcitizen.substack.com)	Speculation is often presented as investment
23	How Do I Just Be a Fucking Adult? (via askpolly.substack.com)	But the older I get, the more I understand
24	Me and Gary Vee down by the schoolyard (via onposting.substack.com)	The internet's great hustlers have always understood
25	You're Still Exhausted (via annehelen.substack.com)	When you internalize the idea that hard work is its own reward
26	Have Fun. Be Safe. (via acl.news)	A byproduct of being from Ohio
27	Aaron Levine on Retailing, Instagram, and Thrifting - Put This On (via putthison.com)	A while ago, I bought this 100% cashmere
28	Replaying My Shame (via thecut.com)	I didn't understand yet that amoral people are not silenced by shame
29	My New Band Is: Slate Star Clusterfuck (via mynewbandis.substack.com)	This demand for unalloyed positivity
30	My New Band Is: Slate Star Clusterfuck (via mynewbandis.substack.com)	Here I should note that I was a reader of Slate Star Codex
31	QAnon Is Destroying the GOP From Within (via theatlantic.com)	The GOP must reject conspiracy theories
32	QAnon Is Destroying the GOP From Within (via theatlantic.com)	When Trump leaves office, my party faces a choice
33	The year social media became an absolute nightmare (via vox.com)	It illustrates just how desperate we are to get things right
34	The year social media became an absolute nightmare (via vox.com)	Like, I just had no idea that people could be stupid
35	The year social media became an absolute nightmare (via vox.com)	One could argue that any way we can find happiness
36	The year social media became an absolute nightmare (via vox.com)	As signs about hand-washing were going up in workplaces
37	David Chang's Memoir Eat a Peach Reviewed: An Employee's Trauma (via eater.com)	Dave didn't really care about the moscato
38	Inside the New York Times' Heated Reckoning With Itself (via nymag.com)	On Election Night, as the Times' polling
39	An Anonymous Republican on Power vs. Contempt for Trump (via nymag.com)	So where does all of this leave him on November 3
40	An Anonymous Republican on Power vs. Contempt for Trump (via nymag.com)	Or they want to maintain good relations with reporters
41	It's The 3-Year Anniversary Of Ted Cruz Liking A Porn Tweet On 9/11 (via garbageday.substack.com)	Which maybe speaks to Loose Change's most important legacy
42	The Abolition Movement (via vanityfair.com)	But more than an array of solutions to discrete, isolated issues
43	Maintaining Professionalism In The Age of Black Death Is....A Lot (via medium.com)	I don't know who decided that being professional
44	Slate Star Codex and Silicon Valley's War Against the Media (via newyorker.com)	It remains possible that Alexander vaporized his blog
45	Slate Star Codex and Silicon Valley's War Against the Media (via newyorker.com)	Still, the rationalists' general willingness
46	Slate Star Codex and Silicon Valley's War Against the Media (via newyorker.com)	Second, he more than anyone has defined
47	Who Gets to Be Afraid in America? (via theatlantic.com)	Self-defense, like the Second Amendment
48	Britain is not America - David Olusoga (via theguardian.com)	Is that really the extent of our ambition
49	How to maximize your order at Majordomo, David Chang's ode to LA cuisine (via la.eater.com)	All of this is to say that Majordomo is a full-length album
50	A Reader Asked For My Help Escaping Toxic Wokeness And Finding Something More Meaningful (via jessesingal.substack.com)	I don't think you really have much power here
51	A Reader Asked For My Help Escaping Toxic Wokeness And Finding Something More Meaningful (via jessesingal.substack.com)	What does it mean to "feel justified"
52	A Reader Asked For My Help Escaping Toxic Wokeness And Finding Something More Meaningful (via jessesingal.substack.com)	I've always found the concept of metacognition
53	A Reader Asked For My Help Escaping Toxic Wokeness And Finding Something More Meaningful (via jessesingal.substack.com)	It's healthy to have the response of "I think this was a bit stupid
54	A Reader Asked For My Help Escaping Toxic Wokeness And Finding Something More Meaningful (via jessesingal.substack.com)	If you said something that could be construed as *-ist
55	A Reader Asked For My Help Escaping Toxic Wokeness And Finding Something More Meaningful (via jessesingal.substack.com)	Fisher also neatly captures the (non-)logic of toxic SJ spaces
56	A Reader Asked For My Help Escaping Toxic Wokeness And Finding Something More Meaningful (via jessesingal.substack.com)	The whole point is that there are certain aspects of human nature
57	The Hater's Guide to Mayor Pete (via gen.medium.com)	Do you wanna know something about partisanship
58	To everything there is a season (via blog.8tracks.com)	Executives at on-demand services note that
59	Do you have the mental/emotional bandwidth to read this essay? (via theoutline.com)	But the scripts on their own are a cheatsheet
60	The Education of Natalie Jean (via elle.com)	Personal brands die hard.
61	Trolls for Trump (via newyorker.com)	One of the unifying marks of the alt-right sensibility
